,sentence,tag
450,The Metasploitable-2 host is running Linux 269 - 2633 as the operating system ,O B-system I-system O O B-system I-system I-system I-system O O B-system I-system 
451,We can see that the host is running an SSH service using OpenSSH a telnet service an Apache 228 webserver 2 SQL servers and some more services ,O O O O O B-system O O O B-app I-app O B-tool O B-app I-app O B-system I-system I-system O B-system I-system O O O B-app 
452,A list of running services and their running ports are given ,O O O O B-app O O O B-feature O O 
453,Metasploitable 2 is intentionally vulnerable ,B-system I-system O O B-vulnerability 
454,Therefore one can only suspect that most if not all of the services contain vulnerabilities backdoors etc,O O O O O O O O O O O O B-app O B-vulnerability B-attack O
455,With user enumeration the penetrations tester sees what users have access to the server and which users exist on the network ,O B-vulnerability I-vulnerability O  B-securityTeam I-securityTeam O O B-user O O O O B-system O O B-user O O O B-system 
456,Another purpose for user enumeration is to gain access to the machine by using brute force techniques ,O O O B-vulnerability I-vulnerability O O O O O O B-system O O B-technique I-technique I-technique 
457,Since the username is already known to the penetration tester the only thing left to brute force is the password ,O O B-feature O O O O O B-securityTeam I-securityTeam O O O O O B-technique I-technique O O B-feature 
458,There are multiple ways of enumerating users on a Linux system,O O O O O B-vulnerability I-vulnerability O O B-system I-system
459,To enumerate the user accounts available on the target machine you will be using the following Nmap script,O B-function O B-feature I-feature O O O B-system I-system O O O O O O B-function I-function
460,Rpcclient is a Linux tool used for executing client-side MS-RPC functions ,B-O O O B-system O O O O B-system B-function I-function 
461,A null session is a connection with a samba or SMB server that does not require authentication with a password ,O B-feature I-feature O O B-feature O O B-system O B-system I-system O O O O B-technique O O B-feature 
462,No username or password is needed to set-up the connection and therefore it is called a null session,O B-feature O B-feature O O O O O B-feature O O O O O O B-feature I-feature
463,The allowance of null sessions was enabled by default on legacy systems but has been disabled from Windows XP SP2 and Windows Server 2003 ,O O O B-feature I-feature O O O O O B-system I-system O O O O O B-system I-system I-system O B-system I-system I-system
464,The connection uses port 445 an open port on the out target host as weâve seen in the port scan results,O B-feature O B-feature I-feature O B-feature I-feature O O O B-system I-system O O O O O B-technique I-technique O
465,Now you can open up a new terminal window and set up a null session with the Metasploitable 2 samba server,O O O O O O O B-system B-system O O O O B-feature I-feature O O B-system I-system B-system I-system
466,It will ask for a password and you can press â€œenter ,O O O O O B-feature O O O O O 
467,Then you can use the following command to enumerate all the users in the system,O O O O O O B-function O B-function O O B-user O O B-system O
468,Enum4linux can be found on Kali Linux ,B-tool O O O O B-system I-system 
469,It is used to enumerate Windows and Samba hosts and is written in Perl ,O O O O B-function B-system O B-system B-system  O O O O B-tool 
470,The tool is basically a wrapper for smbclient rpcclient net and nmblookup ,O O O O O B-function O B-system B-system O O B-tool
471,Letâs have a look at how to use enum4linux and run it on Metasploitable 2 ,O O O O O O O O B-tool O O O O B-system I-system 
472,Below are the most common options used in enum4linux ,O O O O O O O O B-tool 
473,In the Metasploit console you can gather information such as target IP address Operating System ports opened and vulnerability,O O B-tool B-tool O O O B-data O O B-system B-feature I-feature B-system I-system B-feature B-feature O B-vulnerability
474,Metasploit allows you to run Nmap directly from the console ,B-tool O O O O B-tool O O O B-tool 
475,Nmap output contained over 600 lines therefore the output was shortened leaving relevant information to be explained,B-tool B-feature O O O O O O B-feature O O O O B-data O O O
476,The following lines show us the initialized scans types which involve NSE ARP Ping Scan DNS resolution and an SYN Stealth Scan,O O O O O O O B-technique O O O B-tool B-technique I-technique I-technique B-function I-function O O B-technique I-technique I-technique
477,The next extract shows what services are available at the target,O O O O O B-app O O O O B-system
478,The following extract report NSE post scan scripts execution to find vulnerabilities,O O O O B-tool B-function I-function I-function O O O B-vulnerability
479,As you can see Nmap already found security holes or vulnerabilities on the target FTP service it even links us exploits to hack the target,O O O O B-tool O O B-vulnerability I-vulnerability O B-vulnerability O O B-system B-app I-app O O O O B-function O B-attack O B-system
480,Once you identified security holes on your target use Metasploit commands to find proper exploits against them ,O O O B-vulnerability I-vulnerability O Or B-system O B-tool B-function O O O B-function O O 
481,As you saw previously one of the first vulnerabilities found was on the vsFTPD server to find proper exploits ,O O O O O O O O B-vulnerability O O O O B-system I-system O O O B-function 
482,As you see Metasploit contains a backdoor which possibly may help us to hack our target FTP ,O O O B-tool O O B-attack O O O O O O B-attack O B-system B-feature 
483,To use this exploit within Metasploit run,O O O B-function O B-tool O
484,After the command shell ie the backdoor is established then you can run command â€œls in the targeting system,O O B-tool I-tool O O B-attack O O O O O O B-function B-function O O B-system I-system
485,Syslog is one of the most important standards used in Linux as it is the key file which helps you determine the different level of logs which are getting generated and stored every second while you are working on your Linux box,B-tool O O O O O O O O O B-system O O O O O B-data O O O O O O O O B-data O O O O O O O O O O O O O O B-system I-system
486,Syslog can be taken as â€œSystem Log Benefits of using syslog,B-tool O O O O B-data I-data O O O B-tool
487,Helps analyze the root cause for any trouble or problem caused,O O O O O O O O O O O
488,Reduce overall downtime helping to troubleshoot issues faster with all the logs,O O B-feature O O B-technique O O O O O B-data
489,Improves incident management by active detection of issues,O B-technique I-technique O O B-technique O B-vulnerability
490,Self-determination of incidents along with auto resolution,O O B-attack O O B-technique I-technique
491,Simplified architecture with different level of severity like errorinfowarning etc,O B-system O O O O B-feature O B-data B-data B-data O
492,The syslogconf file is the main configuration file for the syslogd which logs system messages on Unix/Linux Systems ,O B-data I-data O O O B-data I-data O O B-data O B-function B-data I-data O B-system B-system 
493,This file specifies rules for logging,O B-data O B-function O B-function
494,"However in this lab we use syslog terms to illustrate the basic concepts and use rsyslog as the working logging system which is the default system log on Ubuntu Linux distribution
","O O O O O O B-tool O O O O O O O O B-tool O O O B-tool I-tool O O O O B-data I-data O B-system I-system I-system
"
495,When configure syslog syslogconf is the one for syslogd and rsyslog configures are set up in the /etc/rsyslogd/ folder every rule consists of two fields a selector field and an action field ,O B-function B-tool B-data O O O O B-data O B-tool B-function O O O O O B-feature B-data O B-function O O O B-feature O B-feature I-feature O O B-feature I-feature 
496,These two fields are separated by one or more spaces or tabs ,O O B-feature O O O O O O O O O 
497,The selector field specifies a pattern of facilities and priorities belonging to the specified action,O B-feature I-feature O O O O O O O O O O O B-feature
498,The selector field itself again consists of two parts a facility and a priority separated by a period,O B-feature I-feature O O O O O O O B-system O O B-feature O O O O
499,The facility is one of the following keywords: auth authpriv cron daemon kern lpr mail mark news security same as auth syslog user uucp and local0 through local7 ,O B-feature O O O O O O B-feature O B-feature O B-feature O B-tool O B-app O B-system O B-app O B-feature O B-feature O B-technique O O B-feature O B-tool O B-user O B-feature O B-feature O B-feature 
500,The keyword security should not be used anymore and mark is only for internal use and therefore should not be used in applications,O O B-technique O O O O O O O O O O O O O O O O O O O B-app
501,You may want to specify and redirect these messages here,O O O O O O O O B-data O
502,The facility specifies the subsystem that produced the message ie all mail programs log with the mail facility LOG MAIL if they log using syslog ,O B-system O O B-system O O O B-data O O B-app I-app B-function O O B-app B-system B-app I-app O O B-function O B-tool 
503,The priority is one of the following keywords in ascending order: debug info notice warning warn same as warning err error same as err crit alert emerg panic same as emerg ,O B-feature O O O O O O O O O B-technique B-data B-data B-data B-feature O O B-data B-feature B-data O O B-data B-feature B-data B-feature B-feature O O B-feature 
504,The keywords error warn and panic are deprecated and should not be used anymore,O O B-data B-feature O B-feature O O O O O O O O
505,The priority defines the severity of the message,O B-feature O O B-feature O O B-data
506,Multiple selectors may be specified for a single action using the semicolon â€œ separator ,O B-feature O O O O O O O O O O O O
507,The following presented modifications provide network support to the syslogd facility ,O O O O O B-technique I-technique O O B-data B-system 
508,For examples if we want to log all the critical events on your Linux machine in a separate log file inside /var/log with a name of criticallog ,O O O O O O B-function O O B-feature O O O B-system I-system O O O B-data I-data O B-feature O O O O B-data
509,Log all the kernel related messages in separate log file,B-function O O B-app O B-data O O B-data I-data
510,Redirect all the error logs to a remote user on their terminals,O O O B-data B-data O O B-feature B-user O O B-system
511,Log all the firewall warning level messages,B-function O O B-tool B-data O B-data
512,Network support means that messages can be forwarded from one node running syslogd to another node running syslogd where they will be actually logged to a disk file,B-technique I-technique O O B-data O O O O O B-system O B-data O O B-system O B-data O O O O O B-function O O B-data I-data
513,The strategy is to have syslogd listen on a Unix/Linux domain socket for locally generated log messages ,O O O O O B-data O O O B-system B-feature I-feature O O O B-data I-data 
514,This behavior will allow syslogd to inter-operate with the syslog found in the standard C library ,O O O O B-data O O O O B-tool O O O B-app I-app I-app 
515,At the same time syslogd listens on the standard syslog port for messages forwarded from other hosts ,O O O O B-data O O O O B-app B-feature O B-data O O O B-system 
516,If this entry is missing syslogd neither can receive remote messages nor send them because the UDP port cannot be opened ,O O O O O B-data O O O B-feature B-data O O O O O B-feature I-feature O O O 
517,Instead syslogd will die immediately blowing out an error message ,O B-app O O O O O O B-data I-data 
518,For example to forward ALL messages to a remote host uses the following syslogconf entry,O O O O O B-data O O O O O O O O O
519,To forward all kernel messages to a remote host the configuration file,O O O B-app B-data O O B-system I-system O B-data I-data
520,The implementation of syslog on Ubuntu is rsyslogd ,O O O B-app O B-system O B-data
521,To determine if rsyslogd is installed on Ubuntu,O O O B-data O O O B-system 
522,A common rsyslogd status checking reply ,O O B-data O O O 
523,How to modify the iptables rules to let it log at the appropriate level,O O O O B-app B-function O O O O O O O O
524,How to configure syslog to log the iptables messages to a different log file,O O B-function B-data O B-function O B-app B-data O O O B-data I-data
525,To stop iptables messages to get logged into /var/log/messages ,O O B-app B-data O O B-function O B-feature
526,Assume that you are currently logging all the firewall warning level messages ,O O O O O B-function O O B-tool B-data O B-data
527,Restart the rsyslog and make sure that there are no errors,B-function O B-tool O O O O O O O B-data
528,Make sure the iptables rule is logging at the appropriate level ,O O O B-app B-function O B-function O O O O 
529,This can be done by using the log-level switch ,O O O O O O O B-function I-function 
530,Run ssh and ping to test your firewall logs ,O B-function O B-function O O O B-tool B-data
531,If you want to print your iptables logs on your monitoring console,O O O O B-function Or B-app B-data O O B-technique B-tool
532,Assume that you are currently logging all the kernel related messages in separate log file ,O O O O O B-function O O B-app O B-data O O B-data I-data
533,In ubuntu distribution rsyslogd is the default system log implementation compared to its precursor syslogd ,O B-system I-system B-data O O O B-data I-data O O O O O B-data 
534,In this lab you will learn and practice on how to setup rsyslog forwarding from a client to a centralized server ,O O O O O O O O O O O B-system B-tool B-feature O O B-system O O B-system I-system 
535,The syslog basics are presented in the Syslog syslogd Local Logging on Linux Since rsyslog is a successor of syslog the basic concepts of log facilities actions and priority are the same,O B-tool O O O O O B-tool B-data B-feature B-function O B-system O B-tool O O O O B-tool O O O O B-data B-system B-feature O B-feature O O O
536,On Ubuntu system instead of using syslogconf rsyslog uses rsyslog as it configuration file,O B-system I-system O O O B-data I-data B-tool O B-tool O O B-data I-data
537,Detailed rsyslog configuration files are maintained under /etc/rsyslogd/ folder ,O B-tool B-data I-data O O O B-feature B-data 
538,Default rsyslog setup configurations are maintained in the file 50-defaultconf which is similar to syslogconf using syslogd ,B-feature B-tool B-feature I-feature O O O O B-data B-data O O O O B-data O B-data 
539,"In the following sections Selectors Facility and Severity Levels we use the same descriptions
","O O O O B-feature B-system O B-feature I-feature O O O O B-feature
"
540,Logs are stored at /var/log/ on the Linux filesystem ,B-data O O O B-feature O O B-system B-system 
541,At this location you should see multiple log files each one having a name describing what they actually store ,O O B-system O O O O O B-data I-data O O O O O O O O O O O 
542,In this example you have dedicated log files for authentication purposes or for kernel related logs ,O O O O O O B-data I-data O B-technique O O O B-app O B-data 
543,The folder /var/log does not contain only files but it also contain dedicated folders that vendors create when the application is installed,O B-data B-feature O O O O B-data O O O O O B-data O B-user O O O B-app O B-function
544,Suppose that three machines are sending logs to the log server each machine is going to have its own own authlog kernlog or dpkglog files,O O O B-system O O B-data O O B-system I-system O B-system O O O O O O B-data B-data O B-data B-data
545,Each machine ie a client wants to write logs via rsyslog To this end each machine is configured as client-server syslog instances ,O B-system O O B-system O O O B-data O B-tool O O O O B-system O B-function O B-system B-tool B-system 
546,They can create logs and store logs locally in their file system In the centralized logging architecture client machines will be configured to use rsyslog as a client and they will forward every single log to a remote rsyslog server,O O O B-data O O B-data O O O B-system I-system O O B-system I-system I-system B-system I-system O O B-function O O B-tool O O B-system O O O B-feature O O B-data O O B-system I-system I-system
547,which is the central server,O O O B-system I-system
548,Compared to syslog rsyslog tries to address the following improved features,O O B-tool B-tool O O O O O O O
549,Secure transmitted log data implement TLS to protect data transmission,B-feature B-feature B-data I-data O B-technique O B-feature B-feature I-feature
550,Increase the reliability: implement a memory caching module to address when the network is down,O O B-technique: O O B-technique I-technique B-function O O O O B-system O B-feature
551,Using the centralized logging architecture we can achieve the following benefits,O O B-system I-system I-system O O O O O O
552,Inspect all your logs from a single place instead of accessing individual machine,B-technique O O B-data O O O O O O O O B-system
553,Access to logs without access privilege to individual machines,B-feature O B-data O B-feature I-feature O O B-system
554,Set up a complete log monitoring infrastructure in one place to improve the network management capability,O O O O B-technique I-technique B-system O O O O O O B-technique I-technique O
555,The downside of using centralized logging server,O O O O B-system I-system I-system
556,The syslog server can be overloaded: with this architecture you are pushing logs to a remote server ,O B-system I-system O O O O O B-system O O O B-data O O B-system I-system 
557,if one machine starts sending excessive amount of log data it may overload the log server,O O B-system O O O O O B-data I-data O O O O B-system I-system
558,The centralized system suffers single-point failure ,O B-system I-system O B-feature I-feature 
559,If the log server goes down then the ability to look at all the logs sent by the clients is lost ,O O B-system I-system O O O O O O O O O O B-data O O O B-system O O 
560,Moreover if the server goes down clients will start storing messages locally until the server is available again thus it may fill up disk space on the client side,O O O B-system O O B-system O O O B-data B-feature O O B-system O O O O O O O O B-system I-system O O B-system I-system
561,The implementation of syslog on Ubuntu is rsyslogd ,O O O B-tool O B-system O B-data
562,To determine if rsyslogd is installed on Ubuntu,O O O B-data O O O B-system
563,First of all you have to configure your rsyslog server for it to accept incoming logs on port 514 ,O O O O O O B-function Or B-system I-system O O O O O B-data O B-feature I-feature 
564,We are going to use TCP for log transmission ,O O O O O B-feature O B-feature I-feature 
565,You can use UDP if the network reliability is not a big concern ,O O O B-feature O O B-technique I-technique O O O O O 
566,This is the directory that stores templates as well as files that contain the rsyslog rules,O O O B-data O O B-feature O O O B-data O O O B-function I-function
567,In this directory there is a 50-defaultconf file ,O O B-data O O O B-data I-data
568,You are going to create your own configuration file prefixing it with a number lower than the configuration file one ,O O O O O O O B-data I-data O O O O O O O O B-data I-data O 
569,In this way your configuration file takes priority over the default one,O O O O B-data I-data O O O O B-feature O
570,Remote Server means to send for every facility and every severity to the remote server template,B-system I-system O O O O O B-system O O B-feature O O B-system I-system B-feature
571,rsyslog properties and they together identify the path where data will be stored on the remote server,B-tool O O O O O O B-feature O B-data O O O O O B-system I-system
572,With this syntax log files will be grouped by hostname aka the computer name sending the log and then by syslog facility kern user auth etc ,O O O B-data I-data O O O O B-feature O O B-feature I-feature O O B-data O O O B-tool B-system  B-app B-user B-feature O 
573,Now you can restart the rsyslog server and make sure that it is now listening on the port 514 for TCP,O O O B-function O B-system I-system O O O O O O O B-feature O O B-feature I-feature O B-feature
574,With this configuration file server logs are no longer directly stored  ,O O B-data I-data B-system B-data O O O O O  
575,hostname being the current name of the host ,B-feature O O O O O O B-system
576,Now letâs configure rsyslog as a client and on the client machine,O O B-function B-tool O O B-system O O O B-system I-system
577,Similarly to the procedure done on the server-side ,O O O O O O O B-system
578,Restart the rsyslog server and make sure that there are no errors on the client-side,B-function O B-system I-system O O O O O O O B-data O O B-system
579,Now on the server side folder is created for the client with the hostname ubuntu ,O O O B-system I-system B-data O O O O B-system O O B-feature B-system 
580,You are successfully received the log file from the client,O O O O O B-data I-data O O B-system
581,Now you can practice a customized logging service for one of your client ,O O O O O O B-app I-app O O O O B-system 
582,In this task we assume that you want to send a subset of logs captured on your client to the log server ,O O O O O O O O O O O O O B-data O O O B-system O O B-system I-system 
583,Assume that you are currently logging all the kernel related messages in separate log file ,O O O O O B-function O O B-app O B-data O O B-data I-data
584,Assume that you are currently logging all the firewall warning level messages ,O O O O O B-function O O B-tool B-data O B-data
585,Restart the rsyslog server and make sure that there are no errors on the client-side,B-function O B-system I-system O O O O O O O B-data O O B-system
586,How to modify the iptables rules to let it log at the appropriate level,O O O O B-app B-function O O O B-function O O O O
587,How to configure syslog to log the iptables messages to a different log file,O O B-function B-tool O B-function O B-app B-data O O O B-data I-data
588,To stop iptables messages to get logged into a remote server,O O B-app B-data O O B-function O O B-system I-system
589,Make sure the iptables rule is logging at the appropriate level ,O O O B-app B-function O B-function O O O O 
590,This can be done by using the log-level switch ,O O O O O O O B-function I-function 
591,Default log-level is warning ,B-feature B-feature O B-data 
592,Now you can run ssh and ping to test your firewall logs received at the server side,O O O B-function B-function O B-function O B-function O B-tool B-data O O O B-system I-system
